snapshot_date,ga4_start,ga4_end,all_pageviews,commercial_pageviews,affiliate_clicks,commercial_affiliate_clicks,commercial_affiliate_ctr,gsc_start,gsc_end,commercial_search_impressions,commercial_search_clicks,commercial_search_ctr,amazon_clicks_inferred,kindle_unlimited_clicks_inferred,audible_clicks_inferred,rakuten_clicks_inferred,yahoo_clicks_inferred,kdp_clicks_inferred,unattributed_clicks
2026-06-23,2026-05-26,2026-06-22,180,61,1,1,0.016393,2026-05-26,2026-06-22,635,25,0.039370,1,0,0,0,0,0,0
2026-06-29,2026-06-01,2026-06-28,188,82,1,1,0.012195,2026-05-31,2026-06-27,703,26,0.036984,1,0,0,0,0,0,0
2026-07-06,2026-06-08,2026-07-05,194,66,1,1,0.015152,2026-06-07,2026-07-04,719,30,0.041725,1,0,0,0,0,0,0
2026-07-13,2026-06-15,2026-07-12,228,90,2,1,0.011111,2026-06-07,2026-07-04,719,30,0.041725,1,0,0,0,0,0,0
2026-07-19,2026-06-21,2026-07-18,241,102,2,1,0.009804,2026-06-14,2026-07-11,815,43,0.052761,1,0,0,0,0,0,0
2026-07-24,2026-06-26,2026-07-23,249,133,1,1,0.007519,2026-06-25,2026-07-22,1227,82,0.066830,1,0,0,0,0,0,0
2026-07-28,2026-06-30,2026-07-27,238,137,1,1,0.007299,2026-06-29,2026-07-26,1231,84,0.068237,1,0,0,0,0,0,0
